ano,eleicao,cargo,turno,titulo,url
2010,Proporcional,Deputado Estadual,,PT do B,https://drive.google.com/file/d/1lLa_ND_kHqgM3IYEPIU5qr4Uyj0fNUcs/view?usp=sharing
2010,Proporcional,Deputado Estadual,,PTB,https://drive.google.com/file/d/1raQUazOHY16UrXZZZJjMsC6ztQ9if2Si/view?usp=sharing
2010,Proporcional,Deputado Estadual,,PTC,https://drive.google.com/file/d/1cyyxeAcBTV4WGihHcLVNasIwuKKKQcNh/view?usp=sharing
2010,Proporcional,Deputado Estadual,,PTN,https://drive.google.com/file/d/1lA7cAItQusLxa2Hb7vroq71RFpr8_VrO/view?usp=sharing
2010,Proporcional,Deputado Estadual,,PV,https://drive.google.com/file/d/1Z-SujqVgGwA2VLPTZvvDvCjf-41_LrGX/view?usp=sharing
2010,Proporcional,Deputado Federal,,DEM,https://drive.google.com/file/d/1XillNhQub_8Z1K_7Y-w-r_TBE0cYINs8/view?usp=sharing
2010,Proporcional,Deputado Federal,,PC do B,https://drive.google.com/file/d/1lqmClKo3RqdDXMGCrAfzrkUzkm4oggdX/view?usp=sharing
2010,Proporcional,Deputado Federal,,PCB,https://drive.google.com/file/d/1UM29Jbt1tHeAQAT6vj6uBhH1RNkT6Lmr/view?usp=sharing
2010,Proporcional,Deputado Federal,,PDT,https://drive.google.com/file/d/16j6eCjauLeDjNdaag3kDiRsQUl3aa5ka/view?usp=sharing
2010,Proporcional,Deputado Federal,,PHS,https://drive.google.com/file/d/1kz09Cj7-uxAZK1oqP72B5XhaHw93UEfz/view?usp=sharing
2010,Proporcional,Deputado Federal,,PMDB,https://drive.google.com/file/d/19xijV3Fih8B0kBWvI9BCbFXpLmGHG63k/view?usp=sharing
2010,Proporcional,Deputado Federal,,PMN,https://drive.google.com/file/d/1jmmBO93-2j2GKROwOVjZth0nd8bqugp8/view?usp=sharing
2010,Proporcional,Deputado Federal,,PP,https://drive.google.com/file/d/1w-Ay9PZVEiUp8RzS_PVC99PE1AQihLXD/view?usp=sharing
2010,Proporcional,Deputado Federal,,PPS,https://drive.google.com/file/d/1pd_Ptn1J6o_LxONLVLVc6xtsXY0FPXYB/view?usp=sharing
2010,Proporcional,Deputado Federal,,PR,https://drive.google.com/file/d/1E17eizyKaJckfrSQ-DLwpThcNb-5N3X7/view?usp=sharing
2010,Proporcional,Deputado Federal,,PRB,https://drive.google.com/file/d/1PUvQpBQRCyE0Pgex5lOLA0Td23CtdMYa/view?usp=sharing
2010,Proporcional,Deputado Federal,,PRP,https://drive.google.com/file/d/1mW0fQzfGeZxXkL5QgFHARBZbg1yhRhxV/view?usp=sharing
2010,Proporcional,Deputado Federal,,PRTB,https://drive.google.com/file/d/1rmYuZ7QuKyv4evJJSEd8nXwDNy5y7pTe/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSB,https://drive.google.com/file/d/1blGNNgsZj3ob6L58e7ZsbYQWAUTaCcO0/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSC,https://drive.google.com/file/d/1K7B9f9npbTxLVo88EDLIIrjVA-SZK0qd/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSDB,https://drive.google.com/file/d/1Y73DySAg4iEu7AH2K2V08XePXHDi_N0Q/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSDC,https://drive.google.com/file/d/1VqZ_Pzs4Qz022-2gGM0Oa2fcLa32ggao/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSL,https://drive.google.com/file/d/1jIzceAB2TeFdDo3X91psFF1ZECigWeO-/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSOL,https://drive.google.com/file/d/1CB_0WFWi-XgJizVrWtIvdSxVGiNrMvFi/view?usp=sharing
2010,Proporcional,Deputado Federal,,PSTU,https://drive.google.com/file/d/1j9odmPDEzVLKVXi5NAQtGN53dtuuSKS5/view?usp=sharing
2010,Proporcional,Deputado Federal,,PT,https://drive.google.com/file/d/1fi5XBysqIihujab-I05fv9bzikk7VV9T/view?usp=sharing
2010,Proporcional,Deputado Federal,,PT do B,https://drive.google.com/file/d/191r1FuaECTi8VQa8MPRyOl9LGxJIBJeK/view?usp=sharing
2010,Proporcional,Deputado Federal,,PTB,https://drive.google.com/file/d/15H4dPj3pBXp98uuWWHgRjfnrm4kNnqPP/view?usp=sharing
2010,Proporcional,Deputado Federal,,PTC,https://drive.google.com/file/d/1MVEtZCjF0gI8o_ontJ3doPt25GCGzPxz/view?usp=sharing
2010,Proporcional,Deputado Federal,,PTN,https://drive.google.com/file/d/17XQyVuD4TvyNw3sujqTlQ4HUo54ljxT2/view?usp=sharing
2010,Proporcional,Deputado Federal,,PV,https://drive.google.com/file/d/1_UXo-asdcwzQPRdMyHoJZpNUZ75SF6io/view?usp=sharing
2010,Majoritaria,Governador,,,https://drive.google.com/file/d/1k1h9WEJ0FNsCAdhNkZh1CwUdlcCNoNIf/view?usp=sharing
2010,Majoritaria,Presidente,,,https://drive.google.com/file/d/1yE7CS1sX1AkA38S9HLLu6FkYlOJEt75D/view?usp=sharing
2010,Majoritaria,Senador,,,https://drive.google.com/file/d/1VTJgnpEFAaPkFNCQGPhJuZbUYAp7Sn7O/view?usp=sharing
2014,Proporcional,Deputado Estadual,,DEM,https://drive.google.com/file/d/1uspwVnXcoFbXKiybOibnhHlivv0uH7N1/view?usp=sharing
